docID,position,term,label
9,0,not,FALSE
9,4,sure,FALSE
9,9,what,FALSE
9,14,the,FALSE
9,18,hype,FALSE
9,23,is,FALSE
9,26,but,FALSE
9,30,decided,FALSE
9,38,to,FALSE
9,41,give,FALSE
9,46,this,FALSE
9,11,a,FALSE
9,53,try,FALSE
9,57,based,FALSE
9,63,on,FALSE
9,66,all,FALSE
9,70,the,FALSE
9,74,reviews,FALSE
9,82,maybe,FALSE
9,88,it,FALSE
9,91,was,FALSE
9,95,too,FALSE
9,99,hyped,FALSE
9,105,up,FALSE
9,108,but,FALSE
9,112,it,FALSE
9,115,wasnt,FALSE
9,58,as,FALSE
9,124,amazing,FALSE
9,92,as,FALSE
9,23,i,FALSE
9,137,thought,FALSE
9,145,it,FALSE
9,148,would,FALSE
9,85,be,FALSE
9,158,maybe,FALSE
9,164,it,FALSE
9,115,was,FALSE
9,171,what,FALSE
9,176,we,FALSE
9,179,had,FALSE
9,183,ordered,FALSE
9,191,but,FALSE
9,195,it,FALSE
9,167,was,FALSE
9,202,just,FALSE
9,207,ok,FALSE
9,211,we,FALSE
9,214,had,FALSE
9,218,ordered,FALSE
9,226,the,FALSE
9,231,kimchi,FALSE
9,238,fries,FALSE
9,246,which,FALSE
9,198,was,FALSE
9,256,kind,FALSE
9,261,of,FALSE
9,264,like,FALSE
9,51,a,FALSE
9,272,ny,FALSE
9,275,fries,FALSE
9,283,the,FALSE
9,287,works,FALSE
9,294,the,FALSE
9,298,grilled,FALSE
9,308,pork,FALSE
9,313,banh,FALSE
9,318,mi,FALSE
9,252,was,FALSE
9,329,ok,FALSE
9,333,will,FALSE
9,154,be,FALSE
9,341,back,FALSE
9,95,to,FALSE
9,349,try,FALSE
9,353,other,FALSE
9,359,stuff,FALSE
9,365,like,FALSE
9,354,the,FALSE
9,374,bao,TRUE
9,378,version,FALSE
9,386,and,FALSE
9,370,the,FALSE
9,395,pork,FALSE
9,400,belly,FALSE
5,0,this,FALSE
5,5,place,FALSE
5,2,is,FALSE
5,14,awesome,FALSE
5,22,definitely,FALSE
5,33,authenticmy,FALSE
5,45,two,FALSE
5,49,favourite,FALSE
5,59,dishes,FALSE
5,66,are,FALSE
5,35,the,FALSE
5,75,rice,FALSE
5,80,flour,FALSE
5,86,rolls,FALSE
5,94,and,FALSE
5,70,the,FALSE
5,103,chicken,FALSE
5,111,pho,FALSE
5,98,the,FALSE
5,123,rice,FALSE
5,128,flour,FALSE
5,134,rolls,FALSE
5,142,are,FALSE
5,146,always,FALSE
5,153,fresh,FALSE
5,159,whenever,FALSE
5,168,im,FALSE
5,171,there,FALSE
5,177,and,FALSE
5,118,the,FALSE
5,186,chicken,FALSE
5,194,pho,FALSE
5,11,is,FALSE
5,203,always,FALSE
5,210,flavourful,FALSE
5,221,mmmm,FALSE
5,229,just,FALSE
5,234,thinking,FALSE
5,243,of,FALSE
5,27,it,FALSE
5,249,makes,FALSE
5,19,me,FALSE
5,258,want,FALSE
5,263,somemy,FALSE
5,270,boyfriend,FALSE
5,60,is,FALSE
5,283,vietnamese,FALSE
5,294,and,FALSE
5,36,he,FALSE
5,301,agrees,FALSE
5,308,that,FALSE
5,313,this,FALSE
5,318,place,FALSE
5,200,is,FALSE
5,33,authentic,FALSE
5,337,and,FALSE
5,341,one,FALSE
5,345,of,FALSE
5,171,the,FALSE
5,352,best,FALSE
5,357,vietnamese,FALSE
5,368,restaurants,FALSE
5,62,he,FALSE
5,383,has,FALSE
5,163,ever,FALSE
5,392,eaten,FALSE
5,310,at,FALSE
5,401,prices,FALSE
5,408,are,FALSE
5,412,very,FALSE
5,417,reasonable,FALSE
5,428,too,FALSE
4,0,wanted,FALSE
4,7,to,FALSE
4,10,check,FALSE
4,16,out,FALSE
4,20,this,FALSE
4,25,place,FALSE
4,31,due,FALSE
4,35,to,FALSE
4,38,all,FALSE
4,42,the,FALSE
4,46,hype,FALSE
4,22,i,FALSE
4,53,had,FALSE
4,57,heard,FALSE
4,64,my,FALSE
4,67,friend,FALSE
4,74,wanted,FALSE
4,81,to,FALSE
4,84,come,FALSE
4,89,here,FALSE
4,94,for,FALSE
4,89,her,FALSE
4,102,birthday,FALSE
4,112,we,FALSE
4,115,had,FALSE
4,1,a,FALSE
4,121,group,FALSE
4,127,of,FALSE
4,130,seven,FALSE
4,136,and,FALSE
4,140,based,FALSE
4,146,on,FALSE
4,149,the,FALSE
4,153,way,FALSE
4,157,the,FALSE
4,161,seating,FALSE
4,169,works,FALSE
4,141,as,FALSE
4,178,it,FALSE
4,22,is,FALSE
4,184,communal,FALSE
4,193,we,FALSE
4,196,wind,FALSE
4,124,up,FALSE
4,204,sharing,FALSE
4,212,with,FALSE
4,217,another,FALSE
4,225,group,FALSE
4,231,of,FALSE
4,234,five,FALSE
4,240,food,FALSE
4,245,was,FALSE
4,249,ok,FALSE
4,218,not,FALSE
4,257,sure,FALSE
4,262,what,FALSE
4,220,the,FALSE
4,271,hype,FALSE
4,276,was,FALSE
4,281,almost,FALSE
4,289,of,FALSE
4,267,the,FALSE
4,296,dishes,FALSE
4,303,had,FALSE
4,307,some,FALSE
4,312,sort,FALSE
4,317,of,FALSE
4,320,cheese,TRUE
4,165,in,FALSE
4,213,it,FALSE
4,333,this,FALSE
4,338,place,FALSE
4,181,is,FALSE
4,347,very,FALSE
4,352,loud,FALSE
4,307,so,FALSE
4,253,not,FALSE
4,364,ideal,FALSE
4,370,for,FALSE
4,374,catching,FALSE
4,201,up,FALSE
4,386,talking,FALSE
4,360,not,FALSE
4,27,a,FALSE
4,401,great,FALSE
4,407,place,FALSE
4,413,to,FALSE
4,416,go,FALSE
4,419,if,FALSE
4,422,you,FALSE
4,426,have,FALSE
4,431,any,FALSE
4,435,gluten,FALSE
4,95,or,FALSE
4,445,vegan,FALSE
4,451,restrictions,FALSE
4,464,interesting,FALSE
4,476,concept,FALSE
4,485,would,FALSE
4,491,definitely,FALSE
4,502,recommend,FALSE
4,512,to,FALSE
4,515,try,FALSE
4,519,this,FALSE
4,524,place,FALSE
4,477,once,FALSE
4,536,but,FALSE
4,540,definitely,FALSE
4,395,not,FALSE
