ID,Name,Author,Publisher,Publishing_Date,Format,Pages,Rating
0,brides of fantasy,Vanilla Orchid Books,,,Kindle Edition,,0.0
1,the italian secretary: a further adventure of sherlock holmes,Caleb Carr,Sphere,2015-11-27,Paperback,288.0,3.19
2,when you lunch with the emperor: the adventures of ludwig bemelmans,Ludwig Bemelmans,Overlook Books,2006-09-26,Paperback,320.0,3.86
3,we dine with cannibals,C. Alexander London,Puffin Books,2013-01-03,Paperback,384.0,4.19
4,fresh happy tasty: an adventure in 100 recipes,Jane Coxwell,William Morrow Cookbooks,2013-05-14,Hardcover,320.0,3.7
5,the adventures of sparrowboy,Brian Pinkney,Aladdin Paperbacks,2000-07-01,Paperback,40.0,3.64
6,"fourteen: a daughter's memoir of adventure, sailing, and survival",Leslie Johansen Nack,She Writes Press,2015-10-20,Paperback,300.0,4.25
7,claudius bombarnac: the adventures of a special correspondent,Jules Verne,Tark Classic Fiction,2008-05-01,Paperback,180.0,3.45
8,mistborn adventure game,Brandon Sanderson,Crafty Games,2012-07-01,Paperback,573.0,4.09
9,family & fortune,Tracy Ellen,Tracy Ellen INK,2015-07-02,Paperback,224.0,4.45
10,home free: adventures of a child of the sixties,Rifka Kreiter,She Writes Press,2017-05-16,Paperback,280.0,3.89
11,borka: the adventures of a goose with no feathers,John Burningham,Random Century,1992-11-27,Hardcover,32.0,3.89
12,cookiebot!: a harry and horsie adventure,Katie Van Camp,Balzer + Bray,2011-05-31,Hardcover,36.0,3.76
13,"the adventures of tom sawyer, part 2.",Mark Twain,,,Kindle Edition,35.0,3.96
14,"the feathered serpent, part 2",Chris Heimerdinger,,,,,4.15
15,a grizzly in the mail and other adventures in american history,Tim Grove,University of Nebraska Press,2014-05-01,Paperback,256.0,3.62
16,the druid,S.G. Rogers,Musa Publishing,2012-04-20,ebook,67.0,4.36
17,the further adventures of sherlock holmes: sherlock holmes vs. dracula,Loren D. Estleman,Titan Books,2012-11-06,Paperback,224.0,3.92
18,pax demonica,Julie Kenner,Julie Kenner,2014-05-13,Paperback,258.0,3.86
19,"jojo's bizarre adventure: part 1—phantom blood, vol. 2",Hirohiko Araki,VIZ Media,2015-05-05,Hardcover,319.0,4.19
20,"the magic flyswatter: a superhero tale of africa, retold from the mwindo epic",Aaron Shepard,Skyhook Press,2017-03-31,Kindle Edition,35.0,3.28
21,"le talisman écarlate (le cycle du trillium, tome 2)",Marion Zimmer Bradley,Le Livre de Poche,2013-03-01,Kindle Edition,573.0,3.54
22,"gather, darkness! (nucleus fantasy & science fiction)",Fritz Leiber,Collier Books,1992-12-01,Paperback,240.0,3.64
23,men in love: men's sexual fantasies: the triumph of love over rage,Nancy Friday,Dell,1982-12-15,Mass Market Paperback,544.0,3.7
24,finnglas and the stones of choosing,Fay Sampson,Lion Hudson,2003-03-01,Paperback,176.0,3.84
25,mckenzie's fantasy,Bella Bentley,FireFly Lights,2012-10-25,Kindle Edition,31.0,3.52
26,final fantasy v,Chris Kohler,Boss Fight Books,2017-10-24,Paperback,176.0,4.26
27,her druid fantasy,Trish F. Leger,Self Published,2014-06-24,Kindle Edition,280.0,4.33
28,ladies and gentlemen of fantasy 2014,Jennifer L. Miller,LG Anthologies,2014-07-08,Paperback,430.0,4.25
29,"last fantasy, volume 2",Creative Hon,TokyoPop,2006-07-11,Paperback,168.0,4.3
30,fantasies in permeable structures,Laura Elrick,Factory School,2005-01-01,Paperback,74.0,4.5
31,prince of annwn,Evangeline Walton,Scribner Paper Fiction,1992-02-04,Board book,192.0,3.85
32,"le destin du dragon: l'âge du feu, t6",E.E. Knight,Milady,2013-02-01,Kindle Edition,372.0,3.77
33,dragons & dreams: a collection of new fantasy and science fiction stories,Jane Yolen,HarperCollins Publishers,1986-04-01,Hardcover,180.0,3.71
34,beyond secret worlds: ten stories of paranormal fantasy and romance,Aimee Easterling,Bestselling Boxed Sets,2015-12-01,Kindle Edition,256.0,3.95
35,bad little girls die horrible deaths and other tales of dark fantasy,Harry Connolly,Radar Ave Press,2014-07-02,Kindle Edition,153.0,3.86
36,sabine lippert's beaded fantasies: 30 romantic jewelry projects,Sabine Lippert,Lark Crafts,2012-05-01,Hardcover,144.0,4.48
37,forbidden fantasies bundle (includes: forbidden fantasies #1-3) (harlequin blaze),Dawn Atkins,Harlequin,2006-06-01,ebook,768.0,4.0
38,london loves,Theresa Troutman,,,,,4.54
39,the sandwalk adventures: an adventure in evolution in five chapters,Jay Hosler,Active Synapse,2003-12-01,Hardcover,159.0,4.08
40,the lost jewels of nabooti,R.A. Montgomery,Chooseco,2006-05-01,Paperback,131.0,3.38
41,adventures of the teen furies,MaryJanice Davidson,Hard Shell Word Factory,2001-07-01,Paperback,183.0,3.36
42,adventures of the karaoke king,Harold Taw,AmazonEncore,2011-05-17,Paperback,538.0,2.75
43,sherlock holmes never dies: six new adventures of the world's greatest detective,Craig Stephen Copland,iUniverse,2015-08-20,Paperback,688.0,3.65
44,untold adventures,John Shirley,Wizards of the Coast,2011-06-07,Mass Market Paperback,376.0,3.43
45,just a theory: a quantum love adventure,Annie  Wood,Knock on Wood Productions,2014-12-26,Paperback,136.0,4.5
46,misfits,Sharon Lee,Baen (sponsoring SRM Publisher),2008-06-01,ebook,,4.38
47,unbored adventure: serious fun for everyone,Joshua Glenn,Bloomsbury USA,2015-10-06,Paperback,176.0,4.4
48,the explorers: stories of discovery and adventure from the australian frontier,Tim Flannery,Grove Press,2000-09-11,Paperback,400.0,3.66
49,chasing phil: the adventures of two undercover agents with the world's most charming con man,David  Howard,Crown Publishing Group (NY),2017-10-10,Hardcover,371.0,3.94
50,adventure time with fionna and cake #6,Natasha Allegri,Boom! Studios,2013-07-03,Paperback,,4.44
51,the adventure of business,Richard Branson,Virgin Books,2010-08-16,Hardcover,352.0,3.8
52,"tiny titans, volume 2: adventures in awesomeness",Art Baltazar,DC Comics,2009-05-26,Paperback,144.0,4.14
53,american sky: good landings and other flying adventures,Fred Tribuzzo,Koehler Books,2014-04-15,Paperback,272.0,4.36
54,"keekee's big adventures in amsterdam, netherlands",Shannon  Jones,Calithumpian Press,2016-10-11,Hardcover,40.0,4.61
55,the ship captain's tale: a counting adventure,V.A. Boeholt,Little Five Star,2015-05-19,Paperback,40.0,5.0
56,evyione: ocean fantasy volume 9,Young-Hee Kim,Udon,,Paperback,,4.39
57,her darkest fantasies: the dragon’s heart,Hollie Hutchins,,,Kindle Edition,538.0,4.0
58,the year's best fantasy stories 7,Arthur W. Saha,DAW,1981-10-06,Paperback,192.0,3.3
59,the phoenix tree: an anthology of myth fantasy,Robert H.  Boyer,Avon Books,1980-09-01,Mass Market Paperback,279.0,3.95
60,desiring lacey,Erica Lynn,Self Published,2017-05-03,Kindle Edition,182.0,4.59
61,wide awake,Cleo Peitsche,Pouch Productions,2013-05-24,Nook,,4.0
62,jurgen: a landmark fantasy novel,James Branch Cabell,Neil Gaiman Presents,2012-09-25,Audible Audio,,3.94
63,the haunted dolls' house,M.R. James,Fantasy and Horror Classics,2013-05-13,Paperback,24.0,4.25
64,dark heresy: the church of the damned: roleplaying in the grim darkness of the 41st millennium,Fantasy Flight Games,Fantasy Flight Games,2011-12-27,Hardcover,69.0,3.1
65,archer: a swashbuckling medieval fantasy romance,Jacky Gray,,,Kindle Edition,176.0,3.94
66,"mythical beasts: isaac asimov's magical worlds of fantasy, vol. 6",Isaac Asimov,Roc,1986-05-06,Paperback,343.0,3.66
67,"flights: extreme visions fantasy, vol ii",Al Sarrantonio,Roc,2006-04-04,Paperback,432.0,3.61
68,faemaker: making fantasy characters in polymer clay,Dawn M. Schiller,Impact,2012-08-09,Paperback,127.0,4.42
69,waif (a fantasy short story from greyhart press),Nigel Edwards,,,Kindle Edition,23.0,2.81
70,winter escapes (young adult fantasy ebook sampler),Anna Kyss,Winter Escapes,2012-12-03,Kindle Edition,,4.45
71,bad girls and sick boys: fantasies in contemporary art and culture,Linda S. Kauffman,University of California Press,1998-10-01,Paperback,324.0,4.04
72,"otherworlds: how to imagine, paint and create epic scenes of fantasy",Tom Kidd,Impact,2010-11-08,Hardcover,192.0,4.53
73,"best fantasy value collection, 3 (fantasy library)",Orson Scott Card,Dercum Audio,1997-11-01,Audio Cassette,,0.0
